service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
39101,1,1,1,1,1,0,0,20121022,20121215
39102,1,1,1,1,0,0,0,20121022,20121215
39103,0,1,1,1,1,0,0,20121022,20121215
39104,0,1,1,1,1,0,0,20121022,20121215
39105,0,0,0,0,1,0,0,20121022,20121215
39106,0,0,0,0,0,1,0,20121022,20121215
39107,0,0,0,0,0,1,0,20121022,20121215
39108,0,0,0,0,0,0,1,20121022,20121215
39109,0,0,0,0,0,0,1,20121022,20121215
39110,0,0,1,1,1,1,0,20121022,20121215
39111,0,1,1,1,1,1,0,20121022,20121215
39112,0,1,1,1,1,1,0,20121022,20121215
39113,1,0,0,0,0,0,0,20121022,20121215
39114,1,0,0,0,0,0,0,20121022,20121215
39115,1,0,0,0,0,0,0,20121022,20121215
39116,0,1,0,0,0,0,0,20121022,20121215
39117,0,1,0,0,0,0,0,20121022,20121215
39118,1,0,1,1,1,0,0,20121022,20121215
39119,1,0,1,1,1,0,0,20121022,20121215
39120,0,0,1,0,0,0,0,20121022,20121215
39121,0,0,1,0,0,0,0,20121022,20121215
39122,1,1,0,1,1,0,0,20121022,20121215
39123,1,1,0,1,1,0,0,20121022,20121215
39124,0,0,0,1,0,0,0,20121022,20121215
39125,0,0,0,1,0,0,0,20121022,20121215
39126,1,1,1,0,1,0,0,20121022,20121215
39127,1,1,1,0,1,0,0,20121022,20121215
39128,0,1,1,0,0,0,0,20121022,20121215
39129,0,1,1,0,0,0,0,20121022,20121215
39130,1,0,0,1,1,0,0,20121022,20121215
39131,1,0,0,1,1,0,0,20121022,20121215
39132,1,1,0,0,1,0,0,20121022,20121215
39133,1,1,0,0,1,0,0,20121022,20121215
39134,1,1,1,1,1,0,1,20121022,20121215
39135,1,1,1,1,1,0,1,20121022,20121215
39136,1,1,1,1,1,1,0,20121022,20121215
39137,1,1,1,1,1,1,0,20121022,20121215
39138,1,1,1,1,1,1,0,20121022,20121215
39139,1,1,1,1,0,0,1,20121022,20121215
39140,1,1,1,1,0,0,1,20121022,20121215
