service_id,date,exception_type
39101,20121122,2
39102,20121122,2
39103,20121122,2
39104,20121123,2
39105,20121122,2
39106,20121122,2
39107,20121123,2
39108,20121123,2
39109,20121122,1
39110,20121123,2
39111,20121122,2
39112,20121123,2
39113,20121122,2
39114,20121123,2
39115,20121123,1
39116,20121122,2
39117,20121123,2
39118,20121122,2
39119,20121123,2
39120,20121122,2
39121,20121123,2
39122,20121122,2
39123,20121123,2
39124,20121122,2
39125,20121123,2
39126,20121122,2
39127,20121123,2
39128,20121122,2
39129,20121123,2
39130,20121122,2
39131,20121123,2
39132,20121122,2
39133,20121123,2
39134,20121122,2
39135,20121123,2
39136,20121122,2
39137,20121123,2
39138,20121123,1
39139,20121123,1
39140,20121122,1
103501,20121122,2
103502,20121122,2
103503,20121122,2
103504,20121123,2
103505,20121122,2
103506,20121122,2
103507,20121123,2
103508,20121123,2
103509,20121122,1
103510,20121123,2
103511,20121122,2
103512,20121123,2
103513,20121122,2
103514,20121123,2
103515,20121123,1
103516,20121122,2
103517,20121123,2
103518,20121122,2
103519,20121123,2
103520,20121122,2
103521,20121123,2
103522,20121122,2
103523,20121123,2
103524,20121122,2
103525,20121123,2
103526,20121122,2
103527,20121123,2
103528,20121122,2
103529,20121123,2
103530,20121122,2
103531,20121123,2
103532,20121122,2
103533,20121123,2
103534,20121122,2
103535,20121123,2
103536,20121122,2
103537,20121123,2
103538,20121123,1
103539,20121123,1
103540,20121122,1
